 Unix Timestamp;          Alaska Standard Time;   Temp_O2logger;DO_mgL;Dosat_mgL;DO_p;W_press_kPa;atm_pressure;logger_level_cm;channel_depth_cm;Discharge_L_s;Cond_uS_cm;Temp_condlogger;Light_lux;CO2_ppm
1531965420;2018-07-18 17:57;8.25;9.8;10.85;90.38;93.483;89.9;36.5;39.9;236.8;12.6;8.38;2159;
1531966020;2018-07-18 18:07;8.23;9.81;10.85;90.42;93.468;89.9;36.4;39.8;235;12.7;8.37;2655;
1531966620;2018-07-18 18:17;8.23;9.8;10.86;90.24;93.499;89.9;36.7;40.1;238.7;12.6;8.37;4300;
1531967220;2018-07-18 18:27;8.23;9.8;10.85;90.29;93.453;89.9;36.2;39.6;233.2;12.6;8.37;3959;
1531967820;2018-07-18 18:37;8.24;9.78;10.84;90.2;93.377;89.9;35.5;38.9;224.4;12.7;8.37;4833;
1531968420;2018-07-18 18:47;8.24;9.78;10.85;90.22;93.438;89.9;36.1;39.5;231.4;12.7;8.38;1830;
1531969020;2018-07-18 18:57;8.23;9.76;10.85;89.92;93.453;89.9;36.2;39.6;233.2;12.7;8.38;1978;
1531969620;2018-07-18 19:07;8.22;9.74;10.85;89.8;93.438;89.9;36.1;39.5;231.4;12.8;8.37;1965;
1531970220;2018-07-18 19:17;8.21;9.73;10.86;89.64;93.468;89.9;36.4;39.8;235;12.7;8.37;1795;
1531970820;2018-07-18 19:27;8.2;9.71;10.86;89.42;93.483;89.9;36.5;39.9;236.8;12.7;8.36;1556;
1531971420;2018-07-18 19:37;8.2;9.71;10.85;89.48;93.423;90;34.9;38.4;218.4;12.7;8.36;1584;
1531972020;2018-07-18 19:47;8.19;9.69;10.84;89.38;93.317;90;33.8;37.3;207;12.7;8.33;2109;
1531972620;2018-07-18 19:57;8.18;9.67;10.85;89.17;93.317;90;33.8;37.3;207;12.8;8.33;2443;
1531973220;2018-07-18 20:07;8.17;9.69;10.86;89.23;93.362;90;34.3;37.8;211.7;12.8;8.32;2452;
1531973820;2018-07-18 20:17;8.16;9.69;10.85;89.32;93.286;90;33.5;37.1;203.7;12.8;8.3;2080;
1531974420;2018-07-18 20:27;8.15;9.67;10.86;89.08;93.316;90;33.8;37.3;206.9;12.8;8.28;2447;
1531975020;2018-07-18 20:37;8.13;9.67;10.86;89.05;93.301;90;33.7;37.2;205.3;12.9;8.29;1769;
1531975620;2018-07-18 20:47;8.12;9.66;10.86;88.95;93.271;90;33.4;36.9;202.2;12.8;8.28;1084;
1531976220;2018-07-18 20:57;8.1;9.63;10.86;88.72;93.24;90;33;36.6;199.1;12.8;8.26;1028;
1531976820;2018-07-18 21:07;8.08;9.63;10.86;88.63;93.21;90;32.7;36.3;196.1;12.8;8.24;1028;
1531977420;2018-07-18 21:17;8.07;9.63;10.87;88.6;93.255;90.1;32.2;35.8;190.7;12.8;8.23;1287;
1531978020;2018-07-18 21:27;8.05;9.62;10.88;88.47;93.27;90.1;32.3;35.9;192.1;12.8;8.2;612;
1531978620;2018-07-18 21:37;8.03;9.59;10.88;88.16;93.24;90.1;32;35.6;189.2;12.8;8.19;639;
1531979220;2018-07-18 21:47;8;9.59;10.88;88.16;93.209;90.1;31.7;35.3;186.3;12.8;8.16;802;
1531979820;2018-07-18 21:57;8;9.61;10.88;88.26;93.194;90.1;31.6;35.2;184.9;12.8;8.15;886;
1531980420;2018-07-18 22:07;7.98;9.59;10.89;88.03;93.24;90.1;32;35.6;189.2;12.8;8.12;469;
1531981020;2018-07-18 22:17;7.95;9.58;10.9;87.94;93.224;90.2;30.8;34.5;178.5;12.8;8.09;460;
1531981620;2018-07-18 22:27;7.93;9.58;10.91;87.78;93.269;90.2;31.3;35;182.6;12.8;8.07;479;
1531982220;2018-07-18 22:37;7.91;9.55;10.9;87.61;93.178;90.2;30.4;34.1;174.4;12.8;8.05;534;
1531982820;2018-07-18 22:47;7.9;9.56;10.91;87.59;93.209;90.2;30.7;34.4;177.1;12.8;8.04;545;
1531983420;2018-07-18 22:57;7.87;9.55;10.92;87.49;93.209;90.2;30.7;34.4;177.1;12.8;8.03;274;
1531984020;2018-07-18 23:07;7.85;9.57;10.92;87.63;93.163;90.2;30.2;33.9;173;12.8;8;238;
1531984620;2018-07-18 23:17;7.83;9.56;10.93;87.45;93.238;90.2;31;34.7;179.7;12.8;7.99;108;
1531985220;2018-07-18 23:27;7.81;9.54;10.93;87.29;93.208;90.2;30.7;34.4;177;12.9;7.96;110;
1531985820;2018-07-18 23:37;7.79;9.54;10.94;87.16;93.238;90.2;31;34.7;179.7;12.9;7.95;106;
1531986420;2018-07-18 23:47;7.77;9.54;10.94;87.16;93.193;90.2;30.5;34.2;175.7;12.8;7.91;68;
1531987020;2018-07-18 23:57;7.74;9.53;10.95;87.03;93.222;90.2;30.8;34.5;178.3;12.8;7.9;60;
1531987620;2018-07-19 00:07;7.72;9.54;10.96;87.07;93.207;90.2;30.7;34.4;176.9;12.8;7.87;63;
1531988220;2018-07-19 00:17;7.7;9.54;10.97;86.99;93.237;90.2;31;34.6;179.6;12.8;7.85;70;
1531988820;2018-07-19 00:27;7.67;9.54;10.97;87.02;93.176;90.2;30.3;34.1;174.2;12.8;7.82;94;
1531989420;2018-07-19 00:37;7.63;9.54;10.98;86.88;93.237;90.2;31;34.6;179.6;12.8;7.79;107;
1531990020;2018-07-19 00:47;7.61;9.52;10.98;86.7;93.161;90.2;30.2;33.9;172.9;12.8;7.75;74;
1531990620;2018-07-19 00:57;7.58;9.54;11.01;86.69;93.297;90.2;31.6;35.2;185.2;12.8;7.73;71;
1531991220;2018-07-19 01:07;7.54;9.54;11.01;86.66;93.236;90.2;31;34.6;179.5;12.8;7.69;65;
1531991820;2018-07-19 01:17;7.5;9.56;11.03;86.68;93.342;90.2;32;35.7;189.4;12.8;7.66;54;
1531992420;2018-07-19 01:27;7.47;9.54;11.03;86.54;93.236;90.2;31;34.6;179.5;12.8;7.62;60;
1531993020;2018-07-19 01:37;7.43;9.56;11.05;86.49;93.341;90.2;32;35.7;189.3;12.7;7.58;64;
1531993620;2018-07-19 01:47;7.39;9.55;11.06;86.32;93.356;90.2;32.2;35.8;190.8;12.7;7.54;50;
1531994220;2018-07-19 01:57;7.36;9.56;11.08;86.29;93.37;90.2;32.3;35.9;192.1;12.7;7.51;46;
1531994820;2018-07-19 02:07;7.33;9.55;11.08;86.2;93.355;90.1;33.2;36.8;200.6;12.6;7.47;44;
1531995420;2018-07-19 02:17;7.29;9.58;11.09;86.34;93.34;90.1;33;36.6;199.1;12.6;7.43;49;
1531996020;2018-07-19 02:27;7.25;9.58;11.11;86.27;93.4;90.1;33.7;37.2;205.2;12.5;7.4;60;
1531996620;2018-07-19 02:37;7.21;9.59;11.12;86.25;93.4;90.1;33.7;37.2;205.2;12.6;7.36;69;
1531997220;2018-07-19 02:47;7.17;9.59;11.14;86.11;93.46;90.2;33.2;36.8;201.1;12.5;7.32;73;
1531997820;2018-07-19 02:57;7.14;9.6;11.14;86.22;93.384;90.2;32.5;36.1;193.5;12.5;7.28;87;
1531998420;2018-07-19 03:07;7.11;9.61;11.15;86.16;93.429;90.2;32.9;36.5;198;12.5;7.24;91;
1531999020;2018-07-19 03:17;7.08;9.63;11.16;86.28;93.414;90.2;32.8;36.4;196.5;12.4;7.22;98;
1531999620;2018-07-19 03:27;7.04;9.64;11.17;86.29;93.459;90.2;33.2;36.8;201;12.4;7.18;141;
1532000220;2018-07-19 03:37;7.01;9.64;11.19;86.17;93.489;90.2;33.5;37.1;204.1;12.4;7.14;169;
1532000820;2018-07-19 03:47;6.98;9.64;11.19;86.16;93.459;90.2;33.2;36.8;201;12.3;7.11;154;
1532001420;2018-07-19 03:57;6.94;9.67;11.2;86.33;93.488;90.2;33.5;37.1;203.9;12.3;7.09;168;
1532002020;2018-07-19 04:07;6.91;9.66;11.22;86.1;93.549;90.2;34.2;37.7;210.3;12.2;7.05;294;
1532002620;2018-07-19 04:17;6.89;9.67;11.22;86.17;93.503;90.2;33.7;37.2;205.5;12.2;7.02;440;
1532003220;2018-07-19 04:27;6.86;9.7;11.24;86.27;93.593;90.2;34.6;38.1;215.1;12.1;7;507;
1532003820;2018-07-19 04:37;6.83;9.7;11.24;86.28;93.548;90.2;34.1;37.6;210.2;12.1;6.97;505;
1532004420;2018-07-19 04:47;6.8;9.71;11.25;86.3;93.563;90.3;33.3;36.8;201.4;12;6.94;643;
1532005020;2018-07-19 04:57;6.78;9.71;11.27;86.2;93.639;90.3;34;37.6;209.3;12;6.9;683;
1532005620;2018-07-19 05:07;6.75;9.74;11.27;86.41;93.608;90.3;33.7;37.3;206;12;6.89;658;
1532006220;2018-07-19 05:17;6.73;9.74;11.28;86.37;93.608;90.3;33.7;37.3;206;11.9;6.85;744;
1532006820;2018-07-19 05:27;6.71;9.76;11.29;86.44;93.638;90.3;34;37.6;209.2;11.9;6.84;898;
1532007420;2018-07-19 05:37;6.68;9.8;11.3;86.71;93.683;90.3;34.5;38;214;11.9;6.8;856;
1532008020;2018-07-19 05:47;6.66;9.78;11.3;86.53;93.607;90.3;33.7;37.3;205.9;11.8;6.79;960;
1532008620;2018-07-19 05:57;6.63;9.82;11.31;86.79;93.668;90.3;34.3;37.8;212.4;11.7;6.76;986;
1532009220;2018-07-19 06:07;6.61;9.81;11.33;86.57;93.789;90.3;35.6;39;225.8;11.7;6.73;1038;
1532009820;2018-07-19 06:17;6.58;9.81;11.34;86.5;93.758;90.3;35.3;38.7;222.3;11.7;6.71;976;
1532010420;2018-07-19 06:27;6.54;9.85;11.36;86.68;93.848;90.3;36.2;39.6;232.6;11.6;6.68;1021;
1532011020;2018-07-19 06:37;6.51;9.86;11.37;86.73;93.833;90.3;36;39.4;230.9;11.6;6.65;1232;
1532011620;2018-07-19 06:47;6.48;9.86;11.38;86.69;93.848;90.4;35.2;38.6;221.1;11.6;6.63;1265;
1532012220;2018-07-19 06:57;6.45;9.88;11.38;86.83;93.817;90.4;34.8;38.3;217.7;11.5;6.59;1421;
1532012820;2018-07-19 07:07;6.42;9.88;11.4;86.67;93.878;90.4;35.5;38.9;224.5;11.5;6.55;1844;
1532013420;2018-07-19 07:17;6.39;9.91;11.42;86.81;93.999;90.4;36.7;40.1;238.7;11.5;6.52;1889;
1532014020;2018-07-19 07:27;6.37;9.94;11.43;87;93.984;90.4;36.5;39.9;236.9;11.4;6.5;2073;
1532014620;2018-07-19 07:37;6.34;9.95;11.45;86.97;94.058;90.4;37.3;40.6;245.9;11.4;6.46;2237;
1532015220;2018-07-19 07:47;6.31;9.99;11.46;87.21;94.074;90.5;36.4;39.8;235.7;11.4;6.43;2988;
1532015820;2018-07-19 07:57;6.29;10.01;11.45;87.36;94.013;90.5;35.8;39.2;228.5;11.3;6.41;2889;
1532016420;2018-07-19 08:07;6.26;10.03;11.47;87.42;94.074;90.5;36.4;39.8;235.7;11.3;6.38;2927;
1532017020;2018-07-19 08:17;6.25;10.06;11.48;87.63;94.163;90.5;37.4;40.7;246.5;11.3;6.35;2615;
1532017620;2018-07-19 08:27;6.22;10.09;11.5;87.77;94.209;90.5;37.8;41.1;252.3;11.2;6.34;2707;
1532018220;2018-07-19 08:37;6.2;10.1;11.51;87.77;94.239;90.6;37.1;40.5;243.6;11.2;6.33;2892;
1532018820;2018-07-19 08:47;6.18;10.12;11.51;87.88;94.224;90.6;37;40.3;241.7;11.3;6.3;3087;
1532019420;2018-07-19 08:57;6.17;10.14;11.52;87.97;94.3;90.6;37.7;41;251.2;11.3;6.28;4756;
1532020020;2018-07-19 09:07;6.17;10.15;11.53;88.08;94.33;90.6;38;41.3;255;11.3;6.28;4721;
1532020620;2018-07-19 09:17;6.16;10.2;11.52;88.55;94.224;90.6;37;40.3;241.7;11.3;6.26;4623;
1532021220;2018-07-19 09:27;6.15;10.19;11.53;88.31;94.344;90.6;38.2;41.5;256.9;11.3;6.25;4813;
1532021820;2018-07-19 09:37;6.15;10.23;11.54;88.61;94.405;90.6;38.8;42.1;264.9;11.4;6.26;5188;
1532022420;2018-07-19 09:47;6.15;10.24;11.56;88.64;94.526;90.7;39;42.3;267.7;11.4;6.25;5230;
1532023020;2018-07-19 09:57;6.15;10.25;11.56;88.71;94.526;90.7;39;42.3;267.7;11.5;6.25;5555;
1532023620;2018-07-19 10:07;6.15;10.28;11.55;88.94;94.511;90.7;38.9;42.1;265.7;11.5;6.26;4801;
1532024220;2018-07-19 10:17;6.15;10.29;11.55;89.11;94.48;90.7;38.5;41.8;261.6;11.6;6.25;4648;
1532024820;2018-07-19 10:27;6.14;10.31;11.58;89.1;94.662;90.7;40.4;43.6;286.8;11.7;6.25;5276;
1532025420;2018-07-19 10:37;6.14;10.33;11.57;89.29;94.616;90.7;39.9;43.1;280.2;11.7;6.25;5844;
1532026020;2018-07-19 10:47;6.15;10.33;11.57;89.26;94.632;90.8;39.1;42.3;268.5;11.7;6.25;7148;
1532026620;2018-07-19 10:57;6.15;10.36;11.56;89.59;94.586;90.8;38.6;41.9;262.4;11.8;6.26;5996;
1532027220;2018-07-19 11:07;6.16;10.36;11.57;89.61;94.632;90.8;39.1;42.3;268.5;11.9;6.25;7252;
1532027820;2018-07-19 11:17;6.17;10.36;11.56;89.59;94.632;90.8;39.1;42.3;268.5;11.9;6.26;5750;
1532028420;2018-07-19 11:27;6.17;10.38;11.59;89.51;94.874;90.8;41.5;44.7;303.5;12;6.26;6364;
1532029020;2018-07-19 11:37;6.16;10.39;11.59;89.65;94.814;90.8;40.9;44.1;294.4;12;6.26;7073;
1532029620;2018-07-19 11:47;6.17;10.39;11.59;89.65;94.874;90.8;41.5;44.7;303.5;12;6.26;8374;
1532030220;2018-07-19 11:57;6.17;10.41;11.6;89.75;94.92;90.8;42;45.1;310.7;12;6.26;7002;
1532030820;2018-07-19 12:07;6.18;10.42;11.59;89.93;94.874;90.9;40.5;43.7;288.5;12;6.28;7434;
1532031420;2018-07-19 12:17;6.18;10.42;11.58;90;94.799;90.9;39.8;43;277.8;12;6.28;6848;
1532032020;2018-07-19 12:27;6.2;10.45;11.61;90.03;95.041;90.9;42.2;45.3;314;12;6.28;7096;
1532032620;2018-07-19 12:37;6.21;10.45;11.61;90.05;95.086;90.9;42.7;45.7;321.2;12;6.3;6397;
1532033220;2018-07-19 12:47;6.22;10.44;11.61;89.96;95.086;90.9;42.7;45.7;321.2;12;6.3;6687;
1532033820;2018-07-19 12:57;6.23;10.44;11.6;89.99;95.041;90.9;42.2;45.3;314;12;6.31;5027;
1532034420;2018-07-19 13:07;6.24;10.44;11.6;90;95.101;91;41.8;44.9;307.7;12;6.33;4160;
1532035020;2018-07-19 13:17;6.25;10.45;11.6;90.14;95.087;91;41.7;44.8;305.5;12.3;6.35;4847;
1532035620;2018-07-19 13:27;6.25;10.44;11.6;90.02;95.132;91;42.1;45.2;312.5;12.1;6.35;4900;
1532036220;2018-07-19 13:37;6.26;10.42;11.6;89.82;95.178;91;42.6;45.7;319.9;12;6.34;5276;
1532036820;2018-07-19 13:47;6.26;10.44;11.62;89.84;95.314;91;44;47;342.7;12;6.35;5929;
1532037420;2018-07-19 13:57;6.27;10.44;11.6;89.97;95.163;91;42.5;45.5;317.5;12;6.37;6167;
1532038020;2018-07-19 14:07;6.28;10.44;11.6;90;95.193;91;42.8;45.8;322.3;12;6.37;6889;
1532038620;2018-07-19 14:17;6.29;10.44;11.61;89.93;95.253;91.1;42.3;45.4;315.9;12;6.37;6269;
1532039220;2018-07-19 14:27;6.3;10.43;11.6;89.96;95.208;91.1;41.9;45;308.8;12.1;6.38;6612;
1532039820;2018-07-19 14:37;6.31;10.42;11.6;89.83;95.253;91.1;42.3;45.4;315.9;12;6.39;4289;
1532040420;2018-07-19 14:47;6.31;10.43;11.61;89.86;95.299;91.1;42.8;45.9;323.3;12.1;6.41;5065;
1532041020;2018-07-19 14:57;6.32;10.44;11.6;90.03;95.253;91.1;42.3;45.4;315.9;12.1;6.41;5279;
1532041620;2018-07-19 15:07;6.33;10.44;11.61;89.9;95.374;91.1;43.6;46.6;335.8;12.2;6.41;4012;
1532042220;2018-07-19 15:17;6.33;10.44;11.61;89.93;95.42;91.1;44.1;47;343.7;12.1;6.42;5763;
1532042820;2018-07-19 15:27;6.34;10.44;11.62;89.88;95.465;91.1;44.5;47.5;351.6;12.1;6.42;5824;
1532043420;2018-07-19 15:37;6.36;10.44;11.61;89.92;95.465;91.2;43.5;46.5;334.3;12.3;6.42;5107;
1532044020;2018-07-19 15:47;6.36;10.44;11.61;89.92;95.465;91.2;43.5;46.5;334.3;12.2;6.45;5412;
1532044620;2018-07-19 15:57;6.37;10.45;11.6;90.05;95.39;91.2;42.7;45.8;321.8;12.2;6.45;5560;
1532045220;2018-07-19 16:07;6.38;10.47;11.59;90.33;95.375;91.2;42.6;45.6;319.4;12.3;6.46;7890;
1532045820;2018-07-19 16:17;6.4;10.45;11.6;90.14;95.466;91.2;43.5;46.5;334.5;12.3;6.5;5960;
1532046420;2018-07-19 16:27;6.41;10.44;11.61;89.94;95.587;91.2;44.7;47.7;355.6;12.2;6.5;5226;
1532047020;2018-07-19 16:37;6.42;10.43;11.6;89.93;95.511;91.2;44;46.9;342.2;12.2;6.51;6441;
1532047620;2018-07-19 16:47;6.42;10.43;11.6;89.9;95.542;91.2;44.3;47.2;347.6;12.3;6.51;6751;
1532048220;2018-07-19 16:57;6.44;10.44;11.59;90.05;95.511;91.2;44;46.9;342.2;12.2;6.52;5504;
1532048820;2018-07-19 17:07;6.44;10.43;11.6;89.89;95.602;91.2;44.9;47.8;358.3;12.2;6.54;4440;
1532049420;2018-07-19 17:17;6.43;10.42;11.59;89.94;95.481;91.3;42.6;45.7;320.4;12.2;6.54;3832;
1532050020;2018-07-19 17:27;6.42;10.42;11.59;89.87;95.496;91.3;42.8;45.8;322.8;12.2;6.52;5555;
1532050620;2018-07-19 17:37;6.43;10.41;11.59;89.8;95.481;91.3;42.6;45.7;320.4;12.1;6.52;3562;
1532051220;2018-07-19 17:47;6.42;10.4;11.59;89.72;95.496;91.3;42.8;45.8;322.8;12.1;6.52;4922;
1532051820;2018-07-19 17:57;6.42;10.41;11.62;89.58;95.723;91.3;45.1;48;362.1;12.1;6.52;5212;
1532052420;2018-07-19 18:07;6.42;10.41;11.59;89.8;95.496;91.3;42.8;45.8;322.8;12.1;6.52;3178;
1532053020;2018-07-19 18:17;6.41;10.4;11.61;89.58;95.587;91.3;43.7;46.7;338;12.1;6.5;4209;
1532053620;2018-07-19 18:27;6.39;10.42;11.62;89.64;95.632;91.3;44.2;47.2;345.8;12.1;6.5;4995;
1532054220;2018-07-19 18:37;6.4;10.4;11.63;89.47;95.723;91.3;45.1;48;362.1;12;6.5;3969;
1532054820;2018-07-19 18:47;6.39;10.4;11.6;89.66;95.451;91.3;42.3;45.4;315.6;12;6.5;4223;
1532055420;2018-07-19 18:57;6.4;10.39;11.62;89.41;95.632;91.3;44.2;47.2;345.8;12;6.47;3963;
1532056020;2018-07-19 19:07;6.39;10.38;11.61;89.4;95.572;91.3;43.6;46.6;335.5;12;6.48;4092;
1532056620;2018-07-19 19:17;6.4;10.4;11.63;89.47;95.723;91.3;45.1;48;362.1;12;6.48;5594;
1532057220;2018-07-19 19:27;6.4;10.41;11.63;89.52;95.738;91.3;45.3;48.2;364.9;12;6.5;5609;
1532057820;2018-07-19 19:37;6.4;10.4;11.62;89.52;95.663;91.4;43.5;46.5;334;12;6.5;4174;
1532058420;2018-07-19 19:47;6.4;10.41;11.62;89.57;95.693;91.3;44.8;47.7;356.6;11.9;6.5;4690;
1532059020;2018-07-19 19:57;6.4;10.41;11.63;89.51;95.753;91.3;45.4;48.3;367.6;11.9;6.5;3657;
1532059620;2018-07-19 20:07;6.4;10.41;11.63;89.5;95.769;91.4;44.6;47.5;352.3;11.8;6.5;3928;
1532060220;2018-07-19 20:17;6.4;10.41;11.62;89.59;95.663;91.3;44.5;47.5;351.3;11.9;6.48;2559;
1532060820;2018-07-19 20:27;6.38;10.41;11.63;89.54;95.678;91.3;44.6;47.6;354;11.8;6.5;1799;
1532061420;2018-07-19 20:37;6.37;10.39;11.63;89.32;95.632;91.3;44.2;47.2;345.8;11.8;6.47;2866;
1532062020;2018-07-19 20:47;6.37;10.38;11.65;89.1;95.784;91.3;45.7;48.6;373.4;11.8;6.45;2413;
1532062620;2018-07-19 20:57;6.35;10.37;11.65;88.97;95.798;91.3;45.9;48.8;376.1;11.7;6.45;2966;
1532063220;2018-07-19 21:07;6.33;10.38;11.65;89.04;95.753;91.3;45.4;48.3;367.6;11.7;6.43;2357;
1532063820;2018-07-19 21:17;6.31;10.39;11.66;89.08;95.737;91.3;45.2;48.2;364.7;11.7;6.41;2428;
1532064420;2018-07-19 21:27;6.3;10.37;11.65;89.02;95.662;91.3;44.5;47.4;351.1;11.7;6.39;2568;
1532065020;2018-07-19 21:37;6.28;10.35;11.66;88.78;95.647;91.3;44.3;47.3;348.4;11.6;6.38;2204;
1532065620;2018-07-19 21:47;6.27;10.34;11.66;88.69;95.677;91.3;44.6;47.6;353.8;11.5;6.37;2087;
1532066220;2018-07-19 21:57;6.25;10.36;11.66;88.83;95.631;91.3;44.2;47.1;345.6;11.6;6.35;1868;
1532066820;2018-07-19 22:07;6.23;10.34;11.66;88.63;95.57;91.3;43.5;46.6;335.1;11.5;6.33;1645;
1532067420;2018-07-19 22:17;6.2;10.33;11.7;88.3;95.812;91.3;46;48.9;378.8;11.5;6.31;1143;
1532068020;2018-07-19 22:27;6.19;10.32;11.69;88.27;95.706;91.3;44.9;47.9;359;11.5;6.29;1580;
1532068620;2018-07-19 22:37;6.16;10.31;11.7;88.19;95.691;91.3;44.8;47.7;356.3;11.5;6.28;1280;
1532069220;2018-07-19 22:47;6.14;10.31;11.71;88.1;95.736;91.3;45.2;48.2;364.5;11.5;6.25;1423;
1532069820;2018-07-19 22:57;6.11;10.31;11.71;88.01;95.721;91.3;45.1;48;361.7;11.5;6.24;1039;
1532070420;2018-07-19 23:07;6.08;10.28;11.72;87.75;95.66;91.3;44.5;47.4;350.7;11.4;6.18;784;
1532071020;2018-07-19 23:17;6.04;10.31;11.72;87.92;95.615;91.3;44;47;342.9;11.5;6.16;864;
1532071620;2018-07-19 23:27;6;10.29;11.74;87.67;95.644;91.3;44.3;47.3;347.9;11.4;6.12;675;
1532072220;2018-07-19 23:37;5.96;10.28;11.76;87.42;95.735;91.3;45.2;48.1;364.3;11.4;6.08;616;
1532072820;2018-07-19 23:47;5.91;10.28;11.76;87.38;95.628;91.3;44.1;47.1;345.1;11.3;6.04;526;
1532073420;2018-07-19 23:57;5.86;10.28;11.77;87.33;95.598;91.3;43.8;46.8;339.9;11.3;5.99;466;
1532074020;2018-07-20 00:07;5.81;10.26;11.77;87.17;95.461;91.3;42.4;45.5;317.2;11.2;5.94;416;
1532074620;2018-07-20 00:17;5.74;10.27;11.81;86.96;95.567;91.3;43.5;46.5;334.6;11.3;5.88;380;
1532075220;2018-07-20 00:27;5.7;10.27;11.82;86.95;95.566;91.3;43.5;46.5;334.5;11.2;5.83;336;
1532075820;2018-07-20 00:37;5.65;10.27;11.84;86.74;95.642;91.3;44.3;47.2;347.6;11.2;5.78;294;
1532076420;2018-07-20 00:47;5.59;10.26;11.85;86.59;95.58;91.3;43.6;46.6;336.8;11.2;5.73;262;
1532077020;2018-07-20 00:57;5.54;10.26;11.87;86.44;95.595;91.3;43.8;46.8;339.4;11.2;5.66;236;
1532077620;2018-07-20 01:07;5.49;10.26;11.88;86.33;95.564;91.3;43.5;46.5;334.1;11.2;5.62;214;
1532078220;2018-07-20 01:17;5.43;10.26;11.89;86.34;95.489;91.3;42.7;45.8;321.7;11.1;5.57;206;
1532078820;2018-07-20 01:27;5.38;10.27;11.9;86.28;95.473;91.3;42.6;45.6;319.1;11.1;5.5;190;
1532079420;2018-07-20 01:37;5.33;10.28;11.91;86.31;95.442;91.3;42.2;45.3;314.1;11.1;5.46;164;
1532080020;2018-07-20 01:47;5.28;10.29;11.94;86.17;95.517;91.3;43;46;326.3;11.1;5.41;150;
1532080620;2018-07-20 01:57;5.22;10.3;11.96;86.15;95.547;91.3;43.3;46.3;331.3;11.1;5.36;147;
1532081220;2018-07-20 02:07;5.17;10.3;11.96;86.11;95.441;91.3;42.2;45.3;314;11;5.31;156;
1532081820;2018-07-20 02:17;5.12;10.31;11.99;85.98;95.501;91.3;42.8;45.9;323.6;11;5.25;170;
1532082420;2018-07-20 02:27;5.07;10.3;12.01;85.78;95.576;91.3;43.6;46.6;336.2;11;5.2;188;
1532083020;2018-07-20 02:37;5.02;10.32;12.03;85.8;95.621;91.2;45.1;48;361.7;10.9;5.15;193;
1532083620;2018-07-20 02:47;4.97;10.34;12.02;86.02;95.379;91.3;41.6;44.7;304.3;10.9;5.08;200;
1532084220;2018-07-20 02:57;4.92;10.35;12.04;85.98;95.424;91.3;42.1;45.1;311.3;10.9;5.05;227;
1532084820;2018-07-20 03:07;4.88;10.35;12.06;85.84;95.484;91.3;42.7;45.7;320.9;10.8;4.99;256;
1532085420;2018-07-20 03:17;4.83;10.37;12.07;85.87;95.453;91.3;42.3;45.4;315.9;10.8;4.95;269;
1532086020;2018-07-20 03:27;4.78;10.38;12.08;85.96;95.407;91.3;41.9;45;308.6;10.8;4.9;335;
1532086620;2018-07-20 03:37;4.73;10.41;12.1;86.07;95.437;91.2;43.2;46.2;329.6;10.8;4.85;392;
1532087220;2018-07-20 03:47;4.69;10.42;12.1;86.14;95.347;91.2;42.3;45.4;314.9;10.7;4.81;422;
1532087820;2018-07-20 03:57;4.65;10.42;12.12;86.02;95.391;91.2;42.7;45.8;322;10.7;4.77;520;
1532088420;2018-07-20 04:07;4.61;10.46;12.12;86.27;95.331;91.2;42.1;45.2;312.4;10.7;4.72;800;
1532089020;2018-07-20 04:17;4.58;10.46;12.13;86.18;95.315;91.2;42;45.1;309.9;10.7;4.68;730;
1532089620;2018-07-20 04:27;4.54;10.5;12.15;86.39;95.375;91.2;42.6;45.6;319.4;10.7;4.65;702;
1532090220;2018-07-20 04:37;4.5;10.51;12.17;86.34;95.42;91.2;43;46.1;326.8;10.7;4.61;817;
1532090820;2018-07-20 04:47;4.47;10.53;12.17;86.5;95.359;91.2;42.4;45.5;316.8;10.7;4.59;998;
1532091420;2018-07-20 04:57;4.44;10.57;12.18;86.78;95.329;91.2;42.1;45.2;312.1;10.6;4.55;1376;
1532092020;2018-07-20 05:07;4.42;10.58;12.17;86.9;95.223;91.2;41;44.2;295.8;10.6;4.53;1461;
1532092620;2018-07-20 05:17;4.38;10.6;12.18;87.03;95.208;91.2;40.9;44;293.5;10.6;4.5;1480;
1532093220;2018-07-20 05:27;4.36;10.64;12.19;87.23;95.253;91.2;41.3;44.5;300.3;10.6;4.47;1558;
1532093820;2018-07-20 05:37;4.35;10.65;12.2;87.27;95.298;91.2;41.8;44.9;307.2;10.6;4.46;2134;
1532094420;2018-07-20 05:47;4.35;10.67;12.2;87.48;95.298;91.2;41.8;44.9;307.2;10.6;4.44;1978;
1532095020;2018-07-20 05:57;4.34;10.67;12.19;87.54;95.177;91.2;40.6;43.7;289;10.6;4.43;1767;
1532095620;2018-07-20 06:07;4.34;10.71;12.19;87.89;95.177;91.2;40.6;43.7;289;10.6;4.44;2956;
1532096220;2018-07-20 06:17;4.34;10.73;12.2;87.99;95.222;91.2;41;44.2;295.6;10.6;4.44;3028;
1532096820;2018-07-20 06:27;4.35;10.75;12.19;88.21;95.192;91.2;40.7;43.9;291.2;10.6;4.46;3471;
1532097420;2018-07-20 06:37;4.37;10.78;12.18;88.5;95.162;91.2;40.4;43.6;286.8;10.6;4.46;3552;
1532098020;2018-07-20 06:47;4.38;10.78;12.18;88.54;95.178;91.3;39.5;42.8;274.9;10.6;4.47;3588;
