"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","DO.sat.EXO","solar.time"
"1",1,28658,2021-05-10 17:15:00,0.1738182,96.47273,98.19091,14.02909,369.024303158944,0.370342491271646,291.552,14.5420265395205,2021-05-10 15:28:57
"2",1,28659,2021-05-10 17:30:00,0.1808182,96.5,98.2,14.03636,374.630747354884,0.372578004630427,396.256,14.5454507772021,2021-05-10 15:43:57
"3",1,28660,2021-05-10 17:45:00,0.2105455,96.45455,98.16364,14.01273,370.886538163037,0.371085038790777,357.696,14.5278061014229,2021-05-10 15:58:57
"4",1,28661,2021-05-10 18:00:00,0.193,96.51818,98.22727,14.02818,372.755352895017,0.37183020991037,250.016,14.5342359335827,2021-05-10 16:13:57
"5",1,28662,2021-05-10 18:15:00,0.162,96.7,98.4,14.06455,374.630747354884,0.372578004630427,174.144,14.544519131334,2021-05-10 16:28:57
"6",1,28663,2021-05-10 18:30:00,0.1465455,96.8,98.5,14.09,384.106415572459,0.376356332237629,102.24,14.5557851239669,2021-05-10 16:43:57
"7",1,28664,2021-05-10 18:45:00,0.135,96.9,98.65455,14.11,389.870773237738,0.378654812007543,101.248,14.5614035087719,2021-05-10 16:58:57
"8",1,28665,2021-05-10 19:00:00,0.132,97.1,98.8,14.13,389.870773237738,0.378654812007543,130.72,14.5520082389289,2021-05-10 17:13:57
"9",1,28666,2021-05-10 19:15:00,0.131,97.2,98.9,14.15,384.106415572459,0.376356332237629,121.472,14.5576131687243,2021-05-10 17:28:57
"10",1,28667,2021-05-10 19:30:00,0.127,97.3,99,14.16182,397.648699648387,0.381756182107187,101.728,14.5547995889003,2021-05-10 17:43:57
"11",1,28668,2021-05-10 19:45:00,0.119,97.36364,99.1,14.18,401.577141221061,0.383322608759799,94.176,14.5639583729614,2021-05-10 17:58:57
"12",1,28669,2021-05-10 20:00:00,0.111,97.42727,99.19091,14.19818,397.648699648387,0.381756182107187,97.824,14.5731066876861,2021-05-10 18:13:57
"13",1,28670,2021-05-10 20:15:00,0.1040909,97.6,99.3,14.22,391.805385248527,0.379426219131742,96.096,14.5696721311475,2021-05-10 18:28:57
"14",1,28671,2021-05-10 20:30:00,0.1007273,97.6,99.32727,14.22364,411.513390390764,0.38728458839943,116.448,14.5734016393443,2021-05-10 18:43:57
"15",1,28672,2021-05-10 20:45:00,0.096,97.7,99.47273,14.24182,401.577141221061,0.383322608759799,89.536,14.5770931422723,2021-05-10 18:58:57
"16",1,28673,2021-05-10 21:00:00,0.093,97.8,99.5,14.25364,407.519151539162,0.385691925742165,66.272,14.5742740286299,2021-05-10 19:13:57
"17",1,28674,2021-05-10 21:15:00,0.082,97.85455,99.6,14.27,403.551231599168,0.384109757486775,58.784,14.5828681446085,2021-05-10 19:28:57
"18",1,28675,2021-05-10 21:30:00,0.072,97.9,99.6,14.28,393.74657698726,0.380200249856428,48.672,14.5863125638407,2021-05-10 19:43:57
"19",1,28676,2021-05-10 21:45:00,0.067,98,99.7,14.29,399.609630570781,0.382538083633262,41.92,14.5816326530612,2021-05-10 19:58:57
"20",1,28677,2021-05-10 22:00:00,0.063,97.98182,99.7,14.29455,399.609630570781,0.382538083633262,30.208,14.5889819152165,2021-05-10 20:13:57
"21",1,28678,2021-05-10 22:15:00,0.055,98,99.8,14.30727,397.648699648387,0.381756182107187,19.712,14.5992551020408,2021-05-10 20:28:57
"22",1,28679,2021-05-10 22:30:00,0.048,98.1,99.8,14.31455,409.512981100989,0.386486945270554,15.072,14.5917940876656,2021-05-10 20:43:57
"23",1,28680,2021-05-10 22:45:00,0.04,98.2,99.97273,14.34,403.551231599168,0.384109757486775,10.08,14.6028513238289,2021-05-10 20:58:57
"24",1,28681,2021-05-10 23:00:00,0.033,98.3,100.0273,14.35182,395.694348453881,0.380976904181576,6.848,14.60002034588,2021-05-10 21:13:57
"25",1,28682,2021-05-10 23:15:00,0.029,98.40909,100.2,14.37273,395.694348453881,0.380976904181576,3.744,14.6050837376913,2021-05-10 21:28:57
"26",1,28683,2021-05-10 23:30:00,0.024,98.5,100.2364,14.38818,387.942740954779,0.377886028483783,1.664,14.6072893401015,2021-05-10 21:43:57
"27",1,28684,2021-05-10 23:45:00,0.018,98.6,100.3,14.4,389.870773237738,0.378654812007543,0.608,14.604462474645,2021-05-10 21:58:57
"28",1,28685,2021-05-11 00:00:00,0.012,98.60909,100.4,14.41,386.021288399646,0.377119868560463,0.256,14.6132572565065,2021-05-10 22:13:57
"29",1,28686,2021-05-11 00:15:00,0.009,98.7,100.5,14.42182,387.942740954779,0.377886028483783,0.096,14.6117730496454,2021-05-10 22:28:57
"30",1,28687,2021-05-11 00:30:00,0.006,98.8,100.5636,14.43818,397.648699648387,0.381756182107187,0.032,14.6135425101215,2021-05-10 22:43:57
"31",1,28688,2021-05-11 00:45:00,0.003,98.8,100.6,14.44091,397.648699648387,0.381756182107187,0,14.6163056680162,2021-05-10 22:58:57
"32",1,28689,2021-05-11 01:00:00,0.001,98.9,100.6455,14.45182,384.106415572459,0.376356332237629,0,14.6125581395349,2021-05-10 23:13:57
"33",1,28690,2021-05-11 01:15:00,-0.001636364,98.91818,100.7,14.46,384.106415572459,0.376356332237629,0,14.6181419836071,2021-05-10 23:28:57
"34",1,28691,2021-05-11 01:30:00,-0.003,98.92727,100.7,14.46,384.106415572459,0.376356332237629,0,14.6167987856129,2021-05-10 23:43:57
"35",1,28692,2021-05-11 01:45:00,-0.004,99,100.7182,14.47,380.296409101746,0.37483713039335,0,14.6161616161616,2021-05-10 23:58:57
"36",1,28693,2021-05-11 02:00:00,-0.005,99,100.7273,14.47,372.755352895017,0.37183020991037,0,14.6161616161616,2021-05-11 00:13:57
"37",1,28694,2021-05-11 02:15:00,-0.005,99,100.7636,14.47091,369.024303158944,0.370342491271646,0,14.6170808080808,2021-05-11 00:28:57
"38",1,28695,2021-05-11 02:30:00,-0.006,98.95455,100.7,14.46545,374.630747354884,0.372578004630427,0,14.6182767745394,2021-05-11 00:43:57
"39",1,28696,2021-05-11 02:45:00,-0.006,98.94545,100.7,14.46091,369.024303158944,0.370342491271646,0,14.615032828695,2021-05-11 00:58:57
"40",1,28697,2021-05-11 03:00:00,-0.006,99,100.7545,14.47,372.755352895017,0.37183020991037,0,14.6161616161616,2021-05-11 01:13:57
"41",1,28698,2021-05-11 03:15:00,-0.006,99,100.8,14.47727,365.319572334474,0.368865267034796,0,14.6235050505051,2021-05-11 01:28:57
"42",1,28699,2021-05-11 03:30:00,-0.006,99.06364,100.8,14.48,363.477076513985,0.368130590317033,0.064,14.6168664910758,2021-05-11 01:43:57
"43",1,28700,2021-05-11 03:45:00,-0.006909091,99.1,100.9,14.49,354.363293330175,0.36449656073529,0.16,14.6215943491423,2021-05-11 01:58:57
"44",1,28701,2021-05-11 04:00:00,-0.007,99.2,100.9182,14.5,354.363293330175,0.36449656073529,0.448,14.616935483871,2021-05-11 02:13:57
"45",1,28702,2021-05-11 04:15:00,-0.007,99.2,101,14.5,350.763838151836,0.363061314105825,1.056,14.616935483871,2021-05-11 02:28:57
"46",1,28703,2021-05-11 04:30:00,-0.006090909,99.3,101,14.51,350.763838151836,0.363061314105825,2.72,14.6122860020141,2021-05-11 02:43:57
"47",1,28704,2021-05-11 04:45:00,-0.006,99.27273,101.0182,14.51091,338.373006456079,0.358120594317278,5.152,14.6172166313951,2021-05-11 02:58:57
"48",1,28705,2021-05-11 05:00:00,-0.006,99.3,101.0818,14.51727,340.123386086099,0.358818540628539,9.056,14.6196072507553,2021-05-11 03:13:57
"49",1,28706,2021-05-11 05:15:00,-0.005727273,99.34545,101.1,14.52182,336.629206553947,0.357425271606481,14.208,14.6174988386484,2021-05-11 03:28:57
"50",1,28707,2021-05-11 05:30:00,-0.005,99.33636,101.1,14.52182,328.008902961636,0.353988012059457,18.912,14.6188364461915,2021-05-11 03:43:57
"51",1,28708,2021-05-11 05:45:00,-0.005,99.3,101.1,14.52,321.231095189706,0.351285429230153,22.944,14.6223564954683,2021-05-11 03:58:57
"52",1,28709,2021-05-11 06:00:00,-0.004272727,99.3,101.1,14.51818,324.606839619949,0.3526314734439,27.552,14.6205236656596,2021-05-11 04:13:57
"53",1,28710,2021-05-11 06:15:00,-0.003636364,99.30909,101.1,14.52,324.606839619949,0.3526314734439,33.696,14.6210180759888,2021-05-11 04:28:57
"54",1,28711,2021-05-11 06:30:00,-0.001090909,99.3,101.1,14.52,317.881669671061,0.349949879418279,44.96,14.6223564954683,2021-05-11 04:43:57
"55",1,28712,2021-05-11 06:45:00,0,99.3,101.1,14.51545,311.261775368461,0.347310263000106,56.864,14.6177744209466,2021-05-11 04:58:57
"56",1,28713,2021-05-11 07:00:00,0.002,99.3,101.0545,14.51,311.261775368461,0.347310263000106,71.872,14.6122860020141,2021-05-11 05:13:57
"57",1,28714,2021-05-11 07:15:00,0.003,99.2,101,14.5,309.623251112516,0.346656917896715,84.736,14.616935483871,2021-05-11 05:28:57
"58",1,28715,2021-05-11 07:30:00,0.005,99.2,100.9,14.49,309.623251112516,0.346656917896715,114.592,14.6068548387097,2021-05-11 05:43:57
"59",1,28716,2021-05-11 07:45:00,0.007,99.1,100.9,14.48,312.906879352294,0.34796623170396,141.312,14.6115035317861,2021-05-11 05:58:57
"60",1,28717,2021-05-11 08:00:00,0.011,99.01818,100.8,14.47,316.216826503569,0.349286039913037,156.48,14.6134780501924,2021-05-11 06:13:57
"61",1,28718,2021-05-11 08:15:00,0.019,99.02727,100.8,14.46727,304.747156712048,0.344712624189339,194.976,14.6093798203263,2021-05-11 06:28:57
"62",1,28719,2021-05-11 08:30:00,0.027,99,100.8,14.46,303.13495136765,0.3440697734878,158.144,14.6060606060606,2021-05-11 06:43:57
"63",1,28720,2021-05-11 08:45:00,0.033,98.9,100.7,14.44,298.337813701724,0.34215696298594,172.64,14.6006066734075,2021-05-11 06:58:57
"64",1,28721,2021-05-11 09:00:00,0.044,98.7,100.4,14.40455,296.751927268871,0.341524606686252,176.544,14.5942755825735,2021-05-11 07:13:57
"65",1,28722,2021-05-11 09:15:00,0.051,98.4,100.1,14.36,298.337813701724,0.34215696298594,181.248,14.5934959349593,2021-05-11 07:28:57
"66",1,28723,2021-05-11 09:30:00,0.062,98.4,100.1,14.36,293.599893586875,0.340267764888285,193.376,14.5934959349593,2021-05-11 07:43:57
"67",1,28724,2021-05-11 09:45:00,0.08036364,98.5,100.2182,14.36,293.599893586875,0.340267764888285,202.624,14.5786802030457,2021-05-11 07:58:57
"68",1,28725,2021-05-11 10:00:00,0.09372727,98.5,100.2,14.35636,295.172620563954,0.340894873987047,199.616,14.5749847715736,2021-05-11 08:13:57
"69",1,28726,2021-05-11 10:15:00,0.113,98.4,100.2,14.34,292.033746337683,0.339643279389987,204.032,14.5731707317073,2021-05-11 08:28:57
"70",1,28727,2021-05-11 10:30:00,0.126,98.3,100,14.31091,299.930279862462,0.34279194288609,237.888,14.5584028484232,2021-05-11 08:43:57
"71",1,28728,2021-05-11 10:45:00,0.139,98.3,100,14.31,304.747156712048,0.344712624189339,377.856,14.557477110885,2021-05-11 08:58:57
"72",1,28729,2021-05-11 11:00:00,0.146,98.14545,99.9,14.28545,303.13495136765,0.3440697734878,684.992,14.5553869282784,2021-05-11 09:13:57
"73",1,28730,2021-05-11 11:15:00,0.1666364,98.2,99.9,14.28091,301.529325751088,0.343429546386704,990.848,14.5426782077393,2021-05-11 09:28:57
"74",1,28731,2021-05-11 11:30:00,0.188,98.1,99.8,14.26,298.337813701724,0.34215696298594,1165.152,14.5361875637105,2021-05-11 09:43:57
"75",1,28732,2021-05-11 11:45:00,0.208,97.9,99.64545,14.23,303.13495136765,0.3440697734878,1062.528,14.535240040858,2021-05-11 09:58:57
"76",1,28733,2021-05-11 12:00:00,0.221,97.88182,99.6,14.21,298.337813701724,0.34215696298594,1071.616,14.5175069282529,2021-05-11 10:13:57
"77",1,28734,2021-05-11 12:15:00,0.239,97.7,99.5,14.19,295.172620563954,0.340894873987047,1116.384,14.5240532241556,2021-05-11 10:28:57
"78",1,28735,2021-05-11 12:30:00,0.244,97.6,99.33636,14.17,296.751927268871,0.341524606686252,937.92,14.5184426229508,2021-05-11 10:43:57
"79",1,28736,2021-05-11 12:45:00,0.268,97.6,99.3,14.15364,295.172620563954,0.340894873987047,863.712,14.5016803278689,2021-05-11 10:58:57
"80",1,28737,2021-05-11 13:00:00,0.291,97.4,99.15455,14.12,296.751927268871,0.341524606686252,1205.728,14.4969199178645,2021-05-11 11:13:57
"81",1,28738,2021-05-11 13:15:00,0.314,97.16364,98.9,14.07545,301.529325751088,0.343429546386704,1381.088,14.4863346000623,2021-05-11 11:28:57
"82",1,28739,2021-05-11 13:30:00,0.3292727,97.2,98.9,14.07727,298.337813701724,0.34215696298594,964.288,14.4827880658436,2021-05-11 11:43:57
"83",1,28740,2021-05-11 13:45:00,0.3228182,97.13636,98.9,14.07,309.623251112516,0.346656917896715,1219.872,14.4847923064031,2021-05-11 11:58:57
"84",1,28741,2021-05-11 14:00:00,0.333,97,98.7,14.04091,301.529325751088,0.343429546386704,561.056,14.4751649484536,2021-05-11 12:13:57
"85",1,28742,2021-05-11 14:15:00,0.2972727,96.7,98.4,14.01909,306.365941784284,0.345358098491322,615.296,14.4975077559462,2021-05-11 12:28:57
"86",1,28743,2021-05-11 14:30:00,0.308,96.6,98.3,14,306.365941784284,0.345358098491322,989.696,14.4927536231884,2021-05-11 12:43:57
"87",1,28744,2021-05-11 14:45:00,0.304,96.55455,98.28182,13.99,304.747156712048,0.344712624189339,567.712,14.4892187887572,2021-05-11 12:58:57
"88",1,28745,2021-05-11 15:00:00,0.268,96.3,98,13.97,309.623251112516,0.346656917896715,332.416,14.5067497403946,2021-05-11 13:13:57
"89",1,28746,2021-05-11 15:15:00,0.277,96.3,98,13.96,311.261775368461,0.347310263000106,388,14.4963655244029,2021-05-11 13:28:57
"90",1,28747,2021-05-11 15:30:00,0.286,96.23636,97.99091,13.95273,317.881669671061,0.349949879418279,456.128,14.4983974871868,2021-05-11 13:43:57
"91",1,28748,2021-05-11 15:45:00,0.272,96.21818,97.97273,13.96,312.906879352294,0.34796623170396,384.16,14.508692639998,2021-05-11 13:58:57
"92",1,28749,2021-05-11 16:00:00,0.2564545,96.1,97.8,13.94,326.304581426823,0.353308430951436,516.064,14.5057232049948,2021-05-11 14:13:57
"93",1,28750,2021-05-11 16:15:00,0.274,96.1,97.8,13.93545,322.91567754091,0.351957139536805,471.296,14.50098855359,2021-05-11 14:28:57
"94",1,28751,2021-05-11 16:30:00,0.2687273,96.2,97.9,13.95,329.719804224335,0.35467021676794,370.944,14.5010395010395,2021-05-11 14:43:57
"95",1,28752,2021-05-11 16:45:00,0.2460909,96.1,97.8,13.95,328.008902961636,0.353988012059457,321.856,14.5161290322581,2021-05-11 14:58:57
"96",1,28753,2021-05-11 17:00:00,0.2331818,96.05455,97.78182,13.94818,334.891986379753,0.356732572496167,320.256,14.5211028524937,2021-05-11 15:13:57
"97",1,28754,2021-05-11 17:15:00,0.217,96.1,97.8,13.96,345.414003343531,0.36092812116512,309.696,14.5265348595213,2021-05-11 15:28:57
"98",1,28755,2021-05-11 17:30:00,0.21,96.1,97.8,13.96818,348.973980154496,0.362347626191786,268.224,14.5350468262227,2021-05-11 15:43:57
"99",1,28756,2021-05-11 17:45:00,0.196,96.3,98,13.99,343.643884529851,0.36022230405247,257.28,14.527518172378,2021-05-11 15:58:57
"100",1,28757,2021-05-11 18:00:00,0.1915455,96.3,98,13.99636,345.414003343531,0.36092812116512,249.248,14.5341225337487,2021-05-11 16:13:57
"101",1,28758,2021-05-11 18:15:00,0.183,96.4,98.1,14.01545,352.560275877062,0.363777625620326,201.44,14.5388485477178,2021-05-11 16:28:57
"102",1,28759,2021-05-11 18:30:00,0.173,96.5,98.2,14.04,354.363293330175,0.36449656073529,148.096,14.5492227979275,2021-05-11 16:43:57
"103",1,28760,2021-05-11 18:45:00,0.167,96.6,98.36364,14.06,350.763838151836,0.363061314105825,124.32,14.5548654244306,2021-05-11 16:58:57
"104",1,28761,2021-05-11 19:00:00,0.17,96.63636,98.4,14.06,352.560275877062,0.363777625620326,113.376,14.549389070532,2021-05-11 17:13:57
"105",1,28762,2021-05-11 19:15:00,0.179,96.7,98.4,14.05909,361.641160421438,0.367398537199754,137.696,14.5388728024819,2021-05-11 17:28:57
"106",1,28763,2021-05-11 19:30:00,0.17,96.7,98.4,14.06818,352.560275877062,0.363777625620326,152.064,14.5482730093071,2021-05-11 17:43:57
"107",1,28764,2021-05-11 19:45:00,0.165,96.8,98.5,14.08,361.641160421438,0.367398537199754,144,14.5454545454545,2021-05-11 17:58:57
"108",1,28765,2021-05-11 20:00:00,0.164,96.8,98.5,14.08091,363.477076513985,0.368130590317033,133.952,14.5463946280992,2021-05-11 18:13:57
"109",1,28766,2021-05-11 20:15:00,0.157,96.9,98.6,14.09,361.641160421438,0.367398537199754,118.72,14.5407636738906,2021-05-11 18:28:57
"110",1,28767,2021-05-11 20:30:00,0.144,97,98.7,14.11091,365.319572334474,0.368865267034796,102.72,14.5473298969072,2021-05-11 18:43:57
"111",1,28768,2021-05-11 20:45:00,0.138,97.1,98.8,14.13,367.168647882794,0.369602567353001,118.08,14.5520082389289,2021-05-11 18:58:57
"112",1,28769,2021-05-11 21:00:00,0.143,97.1,98.82727,14.14,378.401275458277,0.374081464871928,102.848,14.562306900103,2021-05-11 19:13:57
"113",1,28770,2021-05-11 21:15:00,0.1317273,97.1,98.9,14.14,369.024303158944,0.370342491271646,59.264,14.562306900103,2021-05-11 19:28:57
"114",1,28771,2021-05-11 21:30:00,0.118,97.1,98.87273,14.15,380.296409101746,0.37483713039335,41.856,14.572605561277,2021-05-11 19:43:57
"115",1,28772,2021-05-11 21:45:00,0.101,97.1,98.8,14.14636,354.363293330175,0.36449656073529,38.272,14.5688568486097,2021-05-11 19:58:57
"116",1,28773,2021-05-11 22:00:00,0.08609091,97.2,98.9,14.17,389.870773237738,0.378654812007543,28.352,14.5781893004115,2021-05-11 20:13:57
"117",1,28774,2021-05-11 22:15:00,0.077,97.2,98.9,14.17636,387.942740954779,0.377886028483783,20.896,14.5847325102881,2021-05-11 20:28:57
"118",1,28775,2021-05-11 22:30:00,0.06518182,97.31818,99.1,14.2,380.296409101746,0.37483713039335,15.456,14.5913127434155,2021-05-11 20:43:57
"119",1,28776,2021-05-11 22:45:00,0.05572727,97.5,99.2,14.22909,365.319572334474,0.368865267034796,10.08,14.5939384615385,2021-05-11 20:58:57
"120",1,28777,2021-05-11 23:00:00,0.048,97.5,99.3,14.23727,357.989067420006,0.365942301766585,6.176,14.6023282051282,2021-05-11 21:13:57
"121",1,28778,2021-05-11 23:15:00,0.039,97.7,99.4,14.26,357.989067420006,0.365942301766585,3.424,14.5957011258956,2021-05-11 21:28:57
"122",1,28779,2021-05-11 23:30:00,0.032,97.8,99.52727,14.27909,356.172890511175,0.365218119450717,1.728,14.6002965235174,2021-05-11 21:43:57
"123",1,28780,2021-05-11 23:45:00,0.025,97.9,99.66364,14.3,347.190701885043,0.361636561878211,0.768,14.6067415730337,2021-05-11 21:58:57
"124",1,28781,2021-05-12 00:00:00,0.019,98.1,99.8,14.32727,357.989067420006,0.365942301766585,0.32,14.6047604485219,2021-05-11 22:13:57
"125",1,28782,2021-05-12 00:15:00,0.01336364,98.2,99.9,14.34273,348.973980154496,0.362347626191786,0.096,14.6056313645621,2021-05-11 22:28:57
"126",1,28783,2021-05-12 00:30:00,0.009,98.30909,100.1,14.37,354.363293330175,0.36449656073529,0.064,14.6171630721025,2021-05-11 22:43:57
"127",1,28784,2021-05-12 00:45:00,0.004818182,98.4,100.2,14.38,341.880345444004,0.359519110540262,0,14.6138211382114,2021-05-11 22:58:57
"128",1,28785,2021-05-12 01:00:00,0.001,98.5,100.2,14.39182,354.363293330175,0.36449656073529,0,14.6109847715736,2021-05-11 23:13:57
"129",1,28786,2021-05-12 01:15:00,0,98.6,100.3818,14.41182,356.172890511175,0.365218119450717,0,14.6164503042596,2021-05-11 23:28:57
"130",1,28787,2021-05-12 01:30:00,-0.001,98.7,100.4091,14.42182,350.763838151836,0.363061314105825,0,14.6117730496454,2021-05-11 23:43:57
"131",1,28788,2021-05-12 01:45:00,-0.003,98.77273,100.5,14.43545,343.643884529851,0.36022230405247,0,14.6148132181828,2021-05-11 23:58:57
"132",1,28789,2021-05-12 02:00:00,-0.004,98.85455,100.6,14.44727,338.373006456079,0.358120594317278,0,14.6146737808224,2021-05-12 00:13:57
"133",1,28790,2021-05-12 02:15:00,-0.005,98.95455,100.7,14.46091,336.629206553947,0.357425271606481,0,14.6136888096606,2021-05-12 00:28:57
"134",1,28791,2021-05-12 02:30:00,-0.005,99,100.7455,14.47,336.629206553947,0.357425271606481,0,14.6161616161616,2021-05-12 00:43:57
"135",1,28792,2021-05-12 02:45:00,-0.005,99,100.8,14.47,328.008902961636,0.353988012059457,0,14.6161616161616,2021-05-12 00:58:57
"136",1,28793,2021-05-12 03:00:00,-0.004,99.1,100.8364,14.48273,331.437285214921,0.355355045076886,0,14.6142583249243,2021-05-12 01:13:57
"137",1,28794,2021-05-12 03:15:00,-0.003272727,99.11818,100.9,14.48909,329.719804224335,0.35467021676794,0.032,14.6179943982022,2021-05-12 01:28:57
"138",1,28795,2021-05-12 03:30:00,-0.004,99.13636,100.9,14.49,322.91567754091,0.351957139536805,0.096,14.616231622787,2021-05-12 01:43:57
"139",1,28796,2021-05-12 03:45:00,-0.004,99.2,100.9182,14.5,324.606839619949,0.3526314734439,0.224,14.616935483871,2021-05-12 01:58:57
"140",1,28797,2021-05-12 04:00:00,-0.002,99.2,101,14.5,329.719804224335,0.35467021676794,0.48,14.616935483871,2021-05-12 02:13:57
"141",1,28798,2021-05-12 04:15:00,-9.090909e-05,99.28182,101.0182,14.50818,322.91567754091,0.351957139536805,1.056,14.6131285667406,2021-05-12 02:28:57
"142",1,28799,2021-05-12 04:30:00,0,99.3,101.1,14.51,312.906879352294,0.34796623170396,2.24,14.6122860020141,2021-05-12 02:43:57
"143",1,28800,2021-05-12 04:45:00,0.001,99.3,101.1,14.51636,312.906879352294,0.34796623170396,4.32,14.618690835851,2021-05-12 02:58:57
"144",1,28801,2021-05-12 05:00:00,0.001,99.35455,101.1,14.52,311.261775368461,0.347310263000106,7.232,14.6143281812458,2021-05-12 03:13:57
"145",1,28802,2021-05-12 05:15:00,0.001,99.4,101.1182,14.52455,314.558563064013,0.348624824008277,11.808,14.6122233400402,2021-05-12 03:28:57
"146",1,28803,2021-05-12 05:30:00,0.002,99.4,101.2,14.53,299.930279862462,0.34279194288609,19.36,14.6177062374245,2021-05-12 03:43:57
"147",1,28804,2021-05-12 05:45:00,0.003,99.4,101.1455,14.52455,301.529325751088,0.343429546386704,28.224,14.6122233400402,2021-05-12 03:58:57
"148",1,28805,2021-05-12 06:00:00,0.004,99.4,101.1364,14.52091,301.529325751088,0.343429546386704,37.472,14.6085613682093,2021-05-12 04:13:57
"149",1,28806,2021-05-12 06:15:00,0.006,99.4,101.1818,14.52,293.599893586875,0.340267764888285,47.2,14.6076458752515,2021-05-12 04:28:57
"150",1,28807,2021-05-12 06:30:00,0.008818182,99.4,101.2,14.53,293.599893586875,0.340267764888285,58.336,14.6177062374245,2021-05-12 04:43:57
"151",1,28808,2021-05-12 06:45:00,0.012,99.4,101.2,14.52636,292.033746337683,0.339643279389987,70.208,14.6140442655936,2021-05-12 04:58:57
"152",1,28809,2021-05-12 07:00:00,0.017,99.4,101.1545,14.52,288.921191022959,0.338402179194778,84.64,14.6076458752515,2021-05-12 05:13:57
"153",1,28810,2021-05-12 07:15:00,0.02209091,99.36364,101.1,14.51,285.834954619829,0.33717157340144,100.32,14.6029271874501,2021-05-12 05:28:57
"154",1,28811,2021-05-12 07:30:00,0.029,99.3,101.1,14.5,290.474178816378,0.339021417492151,116.928,14.6022155085599,2021-05-12 05:43:57
"155",1,28812,2021-05-12 07:45:00,0.037,99.3,101,14.49,282.775037128152,0.335951462009916,134.912,14.5921450151057,2021-05-12 05:58:57
"156",1,28813,2021-05-12 08:00:00,0.047,99.20909,100.9909,14.48273,281.254947974166,0.335345341714857,154.656,14.5981885329258,2021-05-12 06:13:57
"157",1,28814,2021-05-12 08:15:00,0.05618182,99.2,101,14.48,282.775037128152,0.335951462009916,164,14.5967741935484,2021-05-12 06:28:57
"158",1,28815,2021-05-12 08:30:00,0.064,99.12727,100.9,14.46273,281.254947974166,0.335345341714857,162.336,14.5900618467552,2021-05-12 06:43:57
"159",1,28816,2021-05-12 08:45:00,0.071,99.1,100.8091,14.45,282.775037128152,0.335951462009916,158.048,14.5812310797175,2021-05-12 06:58:57
"160",1,28817,2021-05-12 09:00:00,0.07690909,99.03636,100.8,14.44455,275.240388637138,0.332947096539272,152.672,14.5850978367945,2021-05-12 07:13:57
"161",1,28818,2021-05-12 09:15:00,0.08736364,99.05455,100.8,14.44182,282.775037128152,0.335951462009916,149.12,14.5796634278789,2021-05-12 07:28:57
"162",1,28819,2021-05-12 09:30:00,0.107,99,100.7818,14.42636,273.753198122586,0.332354094246528,123.936,14.5720808080808,2021-05-12 07:43:57
"163",1,28820,2021-05-12 09:45:00,0.129,99,100.8,14.42,281.254947974166,0.335345341714857,130.816,14.5656565656566,2021-05-12 07:58:57
"164",1,28821,2021-05-12 10:00:00,0.156,98.96364,100.7,14.4,275.240388637138,0.332947096539272,210.144,14.5507986569613,2021-05-12 08:13:57
"165",1,28822,2021-05-12 10:15:00,0.192,98.83636,100.6,14.37,272.272587335921,0.331763715554247,244.16,14.5391837578802,2021-05-12 08:28:57
"166",1,28823,2021-05-12 10:30:00,0.221,98.72727,100.5,14.34,263.527096901551,0.328276539010284,285.632,14.5248622796923,2021-05-12 08:43:57
"167",1,28824,2021-05-12 10:45:00,0.2414545,98.6,100.3,14.31,292.033746337683,0.339643279389987,584,14.5131845841785,2021-05-12 08:58:57
"168",1,28825,2021-05-12 11:00:00,0.259,98.5,100.2273,14.29,284.30170601007,0.336560205905455,1216.16,14.507614213198,2021-05-12 09:13:57
"169",1,28826,2021-05-12 11:15:00,0.282,98.4,100.1,14.26818,278.234508849856,0.334140971926129,1285.312,14.5001829268293,2021-05-12 09:28:57
"170",1,28827,2021-05-12 11:30:00,0.3150909,98.2,99.9,14.22,279.741438548067,0.334741845020262,1550.176,14.4806517311609,2021-05-12 09:43:57
"171",1,28828,2021-05-12 11:45:00,0.3332727,98,99.79091,14.19091,276.734158879577,0.333542722432478,1182.592,14.4805204081633,2021-05-12 09:58:57
"172",1,28829,2021-05-12 12:00:00,0.361,97.9,99.6,14.16,272.272587335921,0.331763715554247,1553.472,14.4637385086823,2021-05-12 10:13:57
"173",1,28830,2021-05-12 12:15:00,0.386,97.7,99.4,14.12091,276.734158879577,0.333542722432478,1506.72,14.4533367451382,2021-05-12 10:28:57
"174",1,28831,2021-05-12 12:30:00,0.412,97.50909,99.3,14.09,270.798556277142,0.331175960462429,1415.872,14.4499348727385,2021-05-12 10:43:57
"175",1,28832,2021-05-12 12:45:00,0.3751818,97,98.7,14.02364,266.415941468172,0.329428436789771,563.136,14.4573608247423,2021-05-12 10:58:57
"176",1,28833,2021-05-12 13:00:00,0.313,97.02727,98.8,14.06,270.798556277142,0.331175960462429,307.392,14.4907715119677,2021-05-12 11:13:57
"177",1,28834,2021-05-12 13:15:00,0.2603636,97.3,99,14.12,272.272587335921,0.331763715554247,432.736,14.5118191161357,2021-05-12 11:28:57
"178",1,28835,2021-05-12 13:30:00,0.274,97.2,98.9,14.1,276.734158879577,0.333542722432478,1137.76,14.5061728395062,2021-05-12 11:43:57
