agency_cd,site_no,datetime,tz_cd,1760_00060,1760_00060_cd
USGS,15484000,7/20/2022 19:30,AKDT,2760,A
USGS,15484000,7/20/2022 19:45,AKDT,2750,A
USGS,15484000,7/20/2022 20:00,AKDT,2750,A
USGS,15484000,7/20/2022 20:15,AKDT,2750,A
USGS,15484000,7/20/2022 20:30,AKDT,2750,A
USGS,15484000,7/20/2022 20:45,AKDT,2750,A
USGS,15484000,7/20/2022 21:00,AKDT,2750,A
USGS,15484000,7/20/2022 21:15,AKDT,2750,A
USGS,15484000,7/20/2022 21:30,AKDT,2750,A
USGS,15484000,7/20/2022 21:45,AKDT,2750,A
USGS,15484000,7/20/2022 22:00,AKDT,2730,A
USGS,15484000,7/20/2022 22:15,AKDT,2750,A
USGS,15484000,7/20/2022 22:30,AKDT,2730,A
USGS,15484000,7/20/2022 22:45,AKDT,2750,A
USGS,15484000,7/20/2022 23:00,AKDT,2730,A
USGS,15484000,7/20/2022 23:15,AKDT,2750,A
USGS,15484000,7/20/2022 23:30,AKDT,2750,A
USGS,15484000,7/20/2022 23:45,AKDT,2730,A
USGS,15484000,7/21/2022 0:00,AKDT,2730,A
USGS,15484000,7/21/2022 0:15,AKDT,2750,A
USGS,15484000,7/21/2022 0:30,AKDT,2750,A
USGS,15484000,7/21/2022 0:45,AKDT,2730,A
USGS,15484000,7/21/2022 1:00,AKDT,2730,A
USGS,15484000,7/21/2022 1:15,AKDT,2730,A
USGS,15484000,7/21/2022 1:30,AKDT,2730,A
USGS,15484000,7/21/2022 1:45,AKDT,2730,A
USGS,15484000,7/21/2022 2:00,AKDT,2730,A
USGS,15484000,7/21/2022 2:15,AKDT,2730,A
USGS,15484000,7/21/2022 2:30,AKDT,2730,A
USGS,15484000,7/21/2022 2:45,AKDT,2730,A
USGS,15484000,7/21/2022 3:00,AKDT,2730,A
USGS,15484000,7/21/2022 3:15,AKDT,2730,A
USGS,15484000,7/21/2022 3:30,AKDT,2730,A
USGS,15484000,7/21/2022 3:45,AKDT,2730,A
USGS,15484000,7/21/2022 4:00,AKDT,2730,A
USGS,15484000,7/21/2022 4:15,AKDT,2730,A
USGS,15484000,7/21/2022 4:30,AKDT,2730,A
USGS,15484000,7/21/2022 4:45,AKDT,2720,A
USGS,15484000,7/21/2022 5:00,AKDT,2730,A
USGS,15484000,7/21/2022 5:15,AKDT,2720,A
USGS,15484000,7/21/2022 5:30,AKDT,2730,A
USGS,15484000,7/21/2022 5:45,AKDT,2730,A
USGS,15484000,7/21/2022 6:00,AKDT,2730,A
USGS,15484000,7/21/2022 6:15,AKDT,2730,A
USGS,15484000,7/21/2022 6:30,AKDT,2720,A
USGS,15484000,7/21/2022 6:45,AKDT,2730,A
USGS,15484000,7/21/2022 7:00,AKDT,2720,A
USGS,15484000,7/21/2022 7:15,AKDT,2720,A
USGS,15484000,7/21/2022 7:30,AKDT,2720,A
USGS,15484000,7/21/2022 7:45,AKDT,2720,A
USGS,15484000,7/21/2022 8:00,AKDT,2720,A
USGS,15484000,7/21/2022 8:15,AKDT,2720,A
USGS,15484000,7/21/2022 8:30,AKDT,2730,A
USGS,15484000,7/21/2022 8:45,AKDT,2720,A
USGS,15484000,7/21/2022 9:00,AKDT,2720,A
USGS,15484000,7/21/2022 9:15,AKDT,2720,A
USGS,15484000,7/21/2022 9:30,AKDT,2720,A
USGS,15484000,7/21/2022 9:45,AKDT,2720,A
USGS,15484000,7/21/2022 10:00,AKDT,2720,A
USGS,15484000,7/21/2022 10:15,AKDT,2720,A
USGS,15484000,7/21/2022 10:30,AKDT,2720,A
USGS,15484000,7/21/2022 10:45,AKDT,2720,A
USGS,15484000,7/21/2022 11:00,AKDT,2720,A
USGS,15484000,7/21/2022 11:15,AKDT,2720,A
USGS,15484000,7/21/2022 11:30,AKDT,2720,A
USGS,15484000,7/21/2022 11:45,AKDT,2700,A
USGS,15484000,7/21/2022 12:00,AKDT,2720,A
USGS,15484000,7/21/2022 12:15,AKDT,2720,A
USGS,15484000,7/21/2022 12:30,AKDT,2720,A
USGS,15484000,7/21/2022 12:45,AKDT,2720,A
USGS,15484000,7/21/2022 13:00,AKDT,2720,A
USGS,15484000,7/21/2022 13:15,AKDT,2700,A
USGS,15484000,7/21/2022 13:30,AKDT,2720,A
USGS,15484000,7/21/2022 13:45,AKDT,2720,A
USGS,15484000,7/21/2022 14:00,AKDT,2720,A
USGS,15484000,7/21/2022 14:15,AKDT,2700,A
USGS,15484000,7/21/2022 14:30,AKDT,2700,A
USGS,15484000,7/21/2022 14:45,AKDT,2700,A
USGS,15484000,7/21/2022 15:00,AKDT,2700,A
USGS,15484000,7/21/2022 15:15,AKDT,2700,A
USGS,15484000,7/21/2022 15:30,AKDT,2700,A
USGS,15484000,7/21/2022 15:45,AKDT,2700,A
USGS,15484000,7/21/2022 16:00,AKDT,2700,A
USGS,15484000,7/21/2022 16:15,AKDT,2700,A
USGS,15484000,7/21/2022 16:30,AKDT,2700,A
USGS,15484000,7/21/2022 16:45,AKDT,2700,A
USGS,15484000,7/21/2022 17:00,AKDT,2700,A
USGS,15484000,7/21/2022 17:15,AKDT,2700,A
USGS,15484000,7/21/2022 17:30,AKDT,2700,A
USGS,15484000,7/21/2022 17:45,AKDT,2700,A
USGS,15484000,7/21/2022 18:00,AKDT,2700,A
USGS,15484000,7/21/2022 18:15,AKDT,2700,A
USGS,15484000,7/21/2022 18:30,AKDT,2700,A
USGS,15484000,7/21/2022 18:45,AKDT,2700,A
USGS,15484000,7/21/2022 19:00,AKDT,2700,A
USGS,15484000,7/21/2022 19:15,AKDT,2700,A
USGS,15484000,7/21/2022 19:30,AKDT,2690,A
USGS,15484000,7/21/2022 19:45,AKDT,2700,A
USGS,15484000,7/21/2022 20:00,AKDT,2700,A
USGS,15484000,7/21/2022 20:15,AKDT,2700,A
USGS,15484000,7/21/2022 20:30,AKDT,2700,A
USGS,15484000,7/21/2022 20:45,AKDT,2700,A
USGS,15484000,7/21/2022 21:00,AKDT,2690,A
USGS,15484000,7/21/2022 21:15,AKDT,2690,A
USGS,15484000,7/21/2022 21:30,AKDT,2690,A
USGS,15484000,7/21/2022 21:45,AKDT,2700,A
USGS,15484000,7/21/2022 22:00,AKDT,2690,A
USGS,15484000,7/21/2022 22:15,AKDT,2690,A
USGS,15484000,7/21/2022 22:30,AKDT,2690,A
USGS,15484000,7/21/2022 22:45,AKDT,2690,A
USGS,15484000,7/21/2022 23:00,AKDT,2690,A
USGS,15484000,7/21/2022 23:15,AKDT,2690,A
USGS,15484000,7/21/2022 23:30,AKDT,2690,A
USGS,15484000,7/21/2022 23:45,AKDT,2690,A
USGS,15484000,7/22/2022 0:00,AKDT,2690,A
USGS,15484000,7/22/2022 0:15,AKDT,2690,A
USGS,15484000,7/22/2022 0:30,AKDT,2690,A
USGS,15484000,7/22/2022 0:45,AKDT,2690,A
USGS,15484000,7/22/2022 1:00,AKDT,2690,A
USGS,15484000,7/22/2022 1:15,AKDT,2690,A
USGS,15484000,7/22/2022 1:30,AKDT,2690,A
USGS,15484000,7/22/2022 1:45,AKDT,2690,A
USGS,15484000,7/22/2022 2:00,AKDT,2680,A
USGS,15484000,7/22/2022 2:15,AKDT,2680,A
USGS,15484000,7/22/2022 2:30,AKDT,2690,A
USGS,15484000,7/22/2022 2:45,AKDT,2680,A
USGS,15484000,7/22/2022 3:00,AKDT,2680,A
USGS,15484000,7/22/2022 3:15,AKDT,2690,A
USGS,15484000,7/22/2022 3:30,AKDT,2690,A
USGS,15484000,7/22/2022 3:45,AKDT,2690,A
USGS,15484000,7/22/2022 4:00,AKDT,2680,A
USGS,15484000,7/22/2022 4:15,AKDT,2690,A
USGS,15484000,7/22/2022 4:30,AKDT,2690,A
USGS,15484000,7/22/2022 4:45,AKDT,2690,A
USGS,15484000,7/22/2022 5:00,AKDT,2690,A
USGS,15484000,7/22/2022 5:15,AKDT,2680,A
USGS,15484000,7/22/2022 5:30,AKDT,2680,A
USGS,15484000,7/22/2022 5:45,AKDT,2680,A
USGS,15484000,7/22/2022 6:00,AKDT,2680,A
USGS,15484000,7/22/2022 6:15,AKDT,2680,A
USGS,15484000,7/22/2022 6:30,AKDT,2680,A
USGS,15484000,7/22/2022 6:45,AKDT,2680,A
USGS,15484000,7/22/2022 7:00,AKDT,2680,A
USGS,15484000,7/22/2022 7:15,AKDT,2680,A
USGS,15484000,7/22/2022 7:30,AKDT,2680,A
USGS,15484000,7/22/2022 7:45,AKDT,2680,A
USGS,15484000,7/22/2022 8:00,AKDT,2680,A
USGS,15484000,7/22/2022 8:15,AKDT,2680,A
USGS,15484000,7/22/2022 8:30,AKDT,2680,A
USGS,15484000,7/22/2022 8:45,AKDT,2680,A
USGS,15484000,7/22/2022 9:00,AKDT,2680,A
USGS,15484000,7/22/2022 9:15,AKDT,2660,A
USGS,15484000,7/22/2022 9:30,AKDT,2660,A
USGS,15484000,7/22/2022 9:45,AKDT,2660,A
USGS,15484000,7/22/2022 10:00,AKDT,2660,A
USGS,15484000,7/22/2022 10:15,AKDT,2660,A
USGS,15484000,7/22/2022 10:30,AKDT,2660,A
USGS,15484000,7/22/2022 10:45,AKDT,2660,A
USGS,15484000,7/22/2022 11:00,AKDT,2660,A
USGS,15484000,7/22/2022 11:15,AKDT,2660,A
USGS,15484000,7/22/2022 11:30,AKDT,2660,A
USGS,15484000,7/22/2022 11:45,AKDT,2660,A
USGS,15484000,7/22/2022 12:00,AKDT,2660,A
USGS,15484000,7/22/2022 12:15,AKDT,2630,A
USGS,15484000,7/22/2022 12:30,AKDT,2650,A
USGS,15484000,7/22/2022 12:45,AKDT,2650,A
USGS,15484000,7/22/2022 13:00,AKDT,2660,A
USGS,15484000,7/22/2022 13:15,AKDT,2650,A
USGS,15484000,7/22/2022 13:30,AKDT,2660,A
USGS,15484000,7/22/2022 13:45,AKDT,2650,A
USGS,15484000,7/22/2022 14:00,AKDT,2650,A
USGS,15484000,7/22/2022 14:15,AKDT,2650,A
USGS,15484000,7/22/2022 14:30,AKDT,2650,A
USGS,15484000,7/22/2022 14:45,AKDT,2650,A
USGS,15484000,7/22/2022 15:00,AKDT,2650,A
USGS,15484000,7/22/2022 15:15,AKDT,2650,A
USGS,15484000,7/22/2022 15:30,AKDT,2650,A
USGS,15484000,7/22/2022 15:45,AKDT,2650,A
USGS,15484000,7/22/2022 16:00,AKDT,2650,A
USGS,15484000,7/22/2022 16:15,AKDT,2650,A
USGS,15484000,7/22/2022 16:30,AKDT,2650,A
USGS,15484000,7/22/2022 16:45,AKDT,2630,A
USGS,15484000,7/22/2022 17:00,AKDT,2630,A
USGS,15484000,7/22/2022 17:15,AKDT,2630,A
USGS,15484000,7/22/2022 17:30,AKDT,2630,A
USGS,15484000,7/22/2022 17:45,AKDT,2630,A
USGS,15484000,7/22/2022 18:00,AKDT,2650,A
USGS,15484000,7/22/2022 18:15,AKDT,2630,A
USGS,15484000,7/22/2022 18:30,AKDT,2630,A
USGS,15484000,7/22/2022 18:45,AKDT,2630,A
USGS,15484000,7/22/2022 19:00,AKDT,2630,A
USGS,15484000,7/22/2022 19:15,AKDT,2630,A
USGS,15484000,7/22/2022 19:30,AKDT,2620,A
USGS,15484000,7/22/2022 19:45,AKDT,2630,A
USGS,15484000,7/22/2022 20:00,AKDT,2620,A
USGS,15484000,7/22/2022 20:15,AKDT,2620,A
USGS,15484000,7/22/2022 20:30,AKDT,2620,A
USGS,15484000,7/22/2022 20:45,AKDT,2630,A
USGS,15484000,7/22/2022 21:00,AKDT,2630,A
USGS,15484000,7/22/2022 21:15,AKDT,2630,A
USGS,15484000,7/22/2022 21:30,AKDT,2630,A
USGS,15484000,7/22/2022 21:45,AKDT,2630,A
USGS,15484000,7/22/2022 22:00,AKDT,2630,A
USGS,15484000,7/22/2022 22:15,AKDT,2620,A
USGS,15484000,7/22/2022 22:30,AKDT,2630,A
USGS,15484000,7/22/2022 22:45,AKDT,2620,A
USGS,15484000,7/22/2022 23:00,AKDT,2630,A
USGS,15484000,7/22/2022 23:15,AKDT,2620,A
USGS,15484000,7/22/2022 23:30,AKDT,2620,A
USGS,15484000,7/22/2022 23:45,AKDT,2630,A
USGS,15484000,7/23/2022 0:00,AKDT,2620,A
USGS,15484000,7/23/2022 0:15,AKDT,2620,A
USGS,15484000,7/23/2022 0:30,AKDT,2620,A
USGS,15484000,7/23/2022 0:45,AKDT,2630,A
USGS,15484000,7/23/2022 1:00,AKDT,2630,A
USGS,15484000,7/23/2022 1:15,AKDT,2630,A
USGS,15484000,7/23/2022 1:30,AKDT,2650,A
USGS,15484000,7/23/2022 1:45,AKDT,2650,A
USGS,15484000,7/23/2022 2:00,AKDT,2660,A
USGS,15484000,7/23/2022 2:15,AKDT,2680,A
USGS,15484000,7/23/2022 2:30,AKDT,2660,A
USGS,15484000,7/23/2022 2:45,AKDT,2660,A
USGS,15484000,7/23/2022 3:00,AKDT,2660,A
USGS,15484000,7/23/2022 3:15,AKDT,2660,A
USGS,15484000,7/23/2022 3:30,AKDT,2660,A
USGS,15484000,7/23/2022 3:45,AKDT,2660,A
USGS,15484000,7/23/2022 4:00,AKDT,2650,A
USGS,15484000,7/23/2022 4:15,AKDT,2650,A
USGS,15484000,7/23/2022 4:30,AKDT,2650,A
USGS,15484000,7/23/2022 4:45,AKDT,2650,A
USGS,15484000,7/23/2022 5:00,AKDT,2650,A
USGS,15484000,7/23/2022 5:15,AKDT,2630,A
USGS,15484000,7/23/2022 5:30,AKDT,2630,A
USGS,15484000,7/23/2022 5:45,AKDT,2630,A
USGS,15484000,7/23/2022 6:00,AKDT,2630,A
USGS,15484000,7/23/2022 6:15,AKDT,2630,A
USGS,15484000,7/23/2022 6:30,AKDT,2630,A
USGS,15484000,7/23/2022 6:45,AKDT,2630,A
USGS,15484000,7/23/2022 7:00,AKDT,2620,A
USGS,15484000,7/23/2022 7:15,AKDT,2620,A
USGS,15484000,7/23/2022 7:30,AKDT,2630,A
USGS,15484000,7/23/2022 7:45,AKDT,2620,A
USGS,15484000,7/23/2022 8:00,AKDT,2620,A
USGS,15484000,7/23/2022 8:15,AKDT,2620,A
USGS,15484000,7/23/2022 8:30,AKDT,2620,A
USGS,15484000,7/23/2022 8:45,AKDT,2620,A
USGS,15484000,7/23/2022 9:00,AKDT,2600,A
USGS,15484000,7/23/2022 9:15,AKDT,2620,A
USGS,15484000,7/23/2022 9:30,AKDT,2620,A
USGS,15484000,7/23/2022 9:45,AKDT,2620,A
USGS,15484000,7/23/2022 10:00,AKDT,2600,A
USGS,15484000,7/23/2022 10:15,AKDT,2620,A
USGS,15484000,7/23/2022 10:30,AKDT,2600,A
USGS,15484000,7/23/2022 10:45,AKDT,2620,A
USGS,15484000,7/23/2022 11:00,AKDT,2600,A
USGS,15484000,7/23/2022 11:15,AKDT,2600,A
USGS,15484000,7/23/2022 11:30,AKDT,2600,A
USGS,15484000,7/23/2022 11:45,AKDT,2620,A
USGS,15484000,7/23/2022 12:00,AKDT,2600,A
USGS,15484000,7/23/2022 12:15,AKDT,2600,A
USGS,15484000,7/23/2022 12:30,AKDT,2600,A
USGS,15484000,7/23/2022 12:45,AKDT,2620,A
USGS,15484000,7/23/2022 13:00,AKDT,2600,A
USGS,15484000,7/23/2022 13:15,AKDT,2600,A
USGS,15484000,7/23/2022 13:30,AKDT,2600,A
USGS,15484000,7/23/2022 13:45,AKDT,2600,A
USGS,15484000,7/23/2022 14:00,AKDT,2620,A
USGS,15484000,7/23/2022 14:15,AKDT,2600,A
USGS,15484000,7/23/2022 14:30,AKDT,2620,A
USGS,15484000,7/23/2022 14:45,AKDT,2620,A
USGS,15484000,7/23/2022 15:00,AKDT,2620,A
USGS,15484000,7/23/2022 15:15,AKDT,2600,A
USGS,15484000,7/23/2022 15:30,AKDT,2630,A
USGS,15484000,7/23/2022 15:45,AKDT,2620,A
USGS,15484000,7/23/2022 16:00,AKDT,2630,A
USGS,15484000,7/23/2022 16:15,AKDT,2620,A
USGS,15484000,7/23/2022 16:30,AKDT,2620,A
USGS,15484000,7/23/2022 16:45,AKDT,2600,A
USGS,15484000,7/23/2022 17:00,AKDT,2620,A
USGS,15484000,7/23/2022 17:15,AKDT,2630,A
USGS,15484000,7/23/2022 17:30,AKDT,2650,A
USGS,15484000,7/23/2022 17:45,AKDT,2620,A
USGS,15484000,7/23/2022 18:00,AKDT,2630,A
USGS,15484000,7/23/2022 18:15,AKDT,2620,A
USGS,15484000,7/23/2022 18:45,AKDT,2600,A
USGS,15484000,7/23/2022 19:00,AKDT,2620,A
USGS,15484000,7/23/2022 19:15,AKDT,2620,A
USGS,15484000,7/23/2022 19:30,AKDT,2620,A
USGS,15484000,7/23/2022 19:45,AKDT,2620,A
USGS,15484000,7/23/2022 20:00,AKDT,2620,A
USGS,15484000,7/23/2022 20:15,AKDT,2620,A
USGS,15484000,7/23/2022 20:30,AKDT,2600,A
USGS,15484000,7/23/2022 20:45,AKDT,2620,A
USGS,15484000,7/23/2022 21:00,AKDT,2620,A
USGS,15484000,7/23/2022 21:15,AKDT,2600,A
USGS,15484000,7/23/2022 21:30,AKDT,2620,A
USGS,15484000,7/23/2022 21:45,AKDT,2620,A
USGS,15484000,7/23/2022 22:00,AKDT,2600,A
USGS,15484000,7/23/2022 22:15,AKDT,2600,A
USGS,15484000,7/23/2022 22:30,AKDT,2620,A
USGS,15484000,7/23/2022 22:45,AKDT,2620,A
USGS,15484000,7/23/2022 23:00,AKDT,2620,A
USGS,15484000,7/23/2022 23:15,AKDT,2620,A
USGS,15484000,7/23/2022 23:30,AKDT,2620,A
USGS,15484000,7/23/2022 23:45,AKDT,2620,A
USGS,15484000,7/24/2022 0:00,AKDT,2600,A
USGS,15484000,7/24/2022 0:15,AKDT,2620,A
USGS,15484000,7/24/2022 0:30,AKDT,2620,A
USGS,15484000,7/24/2022 0:45,AKDT,2620,A
USGS,15484000,7/24/2022 1:00,AKDT,2620,A
USGS,15484000,7/24/2022 1:15,AKDT,2620,A
USGS,15484000,7/24/2022 1:30,AKDT,2620,A
USGS,15484000,7/24/2022 1:45,AKDT,2620,A
USGS,15484000,7/24/2022 2:00,AKDT,2620,A
USGS,15484000,7/24/2022 2:15,AKDT,2620,A
USGS,15484000,7/24/2022 2:30,AKDT,2620,A
USGS,15484000,7/24/2022 2:45,AKDT,2620,A
USGS,15484000,7/24/2022 3:00,AKDT,2620,A
USGS,15484000,7/24/2022 3:15,AKDT,2620,A
USGS,15484000,7/24/2022 3:30,AKDT,2620,A
USGS,15484000,7/24/2022 3:45,AKDT,2630,A
USGS,15484000,7/24/2022 4:00,AKDT,2620,A
USGS,15484000,7/24/2022 4:15,AKDT,2620,A
USGS,15484000,7/24/2022 4:30,AKDT,2630,A
USGS,15484000,7/24/2022 4:45,AKDT,2630,A
USGS,15484000,7/24/2022 5:00,AKDT,2630,A
USGS,15484000,7/24/2022 5:15,AKDT,2630,A
USGS,15484000,7/24/2022 5:30,AKDT,2630,A
USGS,15484000,7/24/2022 5:45,AKDT,2630,A
USGS,15484000,7/24/2022 6:00,AKDT,2630,A
USGS,15484000,7/24/2022 6:15,AKDT,2630,A
USGS,15484000,7/24/2022 6:30,AKDT,2650,A
USGS,15484000,7/24/2022 6:45,AKDT,2650,A
USGS,15484000,7/24/2022 7:00,AKDT,2650,A
USGS,15484000,7/24/2022 7:15,AKDT,2650,A
USGS,15484000,7/24/2022 7:30,AKDT,2650,A
USGS,15484000,7/24/2022 7:45,AKDT,2650,A
USGS,15484000,7/24/2022 8:00,AKDT,2650,A
USGS,15484000,7/24/2022 8:15,AKDT,2650,A
USGS,15484000,7/24/2022 8:30,AKDT,2660,A
USGS,15484000,7/24/2022 8:45,AKDT,2650,A
USGS,15484000,7/24/2022 9:00,AKDT,2660,A
USGS,15484000,7/24/2022 9:15,AKDT,2660,A
USGS,15484000,7/24/2022 9:30,AKDT,2660,A
USGS,15484000,7/24/2022 9:45,AKDT,2660,A
USGS,15484000,7/24/2022 10:00,AKDT,2680,A
USGS,15484000,7/24/2022 10:15,AKDT,2680,A
USGS,15484000,7/24/2022 10:30,AKDT,2680,A
USGS,15484000,7/24/2022 10:45,AKDT,2680,A
USGS,15484000,7/24/2022 11:00,AKDT,2680,A
USGS,15484000,7/24/2022 11:15,AKDT,2680,A
USGS,15484000,7/24/2022 11:30,AKDT,2680,A
USGS,15484000,7/24/2022 11:45,AKDT,2690,A
USGS,15484000,7/24/2022 12:00,AKDT,2680,A
USGS,15484000,7/24/2022 12:15,AKDT,2680,A
USGS,15484000,7/24/2022 12:30,AKDT,2690,A
USGS,15484000,7/24/2022 12:45,AKDT,2690,A
USGS,15484000,7/24/2022 13:00,AKDT,2690,A
USGS,15484000,7/24/2022 13:15,AKDT,2690,A
USGS,15484000,7/24/2022 13:30,AKDT,2690,A
USGS,15484000,7/24/2022 13:45,AKDT,2700,A
USGS,15484000,7/24/2022 14:00,AKDT,2700,A
USGS,15484000,7/24/2022 14:15,AKDT,2700,A
USGS,15484000,7/24/2022 14:30,AKDT,2700,A
USGS,15484000,7/24/2022 14:45,AKDT,2700,A
USGS,15484000,7/24/2022 15:00,AKDT,2700,A
USGS,15484000,7/24/2022 15:15,AKDT,2700,A
USGS,15484000,7/24/2022 15:30,AKDT,2700,A
USGS,15484000,7/24/2022 15:45,AKDT,2720,A
USGS,15484000,7/24/2022 16:00,AKDT,2700,A
USGS,15484000,7/24/2022 16:15,AKDT,2700,A
USGS,15484000,7/24/2022 16:30,AKDT,2720,A
USGS,15484000,7/24/2022 16:45,AKDT,2700,A
USGS,15484000,7/24/2022 17:00,AKDT,2720,A
USGS,15484000,7/24/2022 17:15,AKDT,2720,A
USGS,15484000,7/24/2022 17:30,AKDT,2730,A
USGS,15484000,7/24/2022 17:45,AKDT,2730,A
USGS,15484000,7/24/2022 18:00,AKDT,2730,A
USGS,15484000,7/24/2022 18:15,AKDT,2730,A
USGS,15484000,7/24/2022 18:30,AKDT,2730,A
USGS,15484000,7/24/2022 18:45,AKDT,2730,A
USGS,15484000,7/24/2022 19:00,AKDT,2730,A
USGS,15484000,7/24/2022 19:15,AKDT,2750,A
USGS,15484000,7/24/2022 19:30,AKDT,2730,A
USGS,15484000,7/24/2022 19:45,AKDT,2750,A
USGS,15484000,7/24/2022 20:00,AKDT,2750,A
USGS,15484000,7/24/2022 20:15,AKDT,2750,A
USGS,15484000,7/24/2022 20:30,AKDT,2750,A
USGS,15484000,7/24/2022 20:45,AKDT,2750,A
USGS,15484000,7/24/2022 21:00,AKDT,2750,A
USGS,15484000,7/24/2022 21:15,AKDT,2750,A
USGS,15484000,7/24/2022 21:30,AKDT,2760,A
USGS,15484000,7/24/2022 21:45,AKDT,2750,A
USGS,15484000,7/24/2022 22:00,AKDT,2760,A
USGS,15484000,7/24/2022 22:15,AKDT,2760,A
USGS,15484000,7/24/2022 22:30,AKDT,2760,A
USGS,15484000,7/24/2022 22:45,AKDT,2760,A
USGS,15484000,7/24/2022 23:00,AKDT,2760,A
USGS,15484000,7/24/2022 23:15,AKDT,2760,A
USGS,15484000,7/24/2022 23:30,AKDT,2780,A
USGS,15484000,7/24/2022 23:45,AKDT,2760,A
USGS,15484000,7/25/2022 0:00,AKDT,2760,A
USGS,15484000,7/25/2022 0:15,AKDT,2760,A
USGS,15484000,7/25/2022 0:30,AKDT,2760,A
USGS,15484000,7/25/2022 0:45,AKDT,2780,A
USGS,15484000,7/25/2022 1:00,AKDT,2760,A
USGS,15484000,7/25/2022 1:15,AKDT,2760,A
USGS,15484000,7/25/2022 1:30,AKDT,2760,A
USGS,15484000,7/25/2022 1:45,AKDT,2760,A
USGS,15484000,7/25/2022 2:00,AKDT,2780,A
USGS,15484000,7/25/2022 2:15,AKDT,2760,A
USGS,15484000,7/25/2022 2:30,AKDT,2780,A
USGS,15484000,7/25/2022 2:45,AKDT,2760,A
USGS,15484000,7/25/2022 3:00,AKDT,2780,A
USGS,15484000,7/25/2022 3:15,AKDT,2760,A
USGS,15484000,7/25/2022 3:30,AKDT,2760,A
USGS,15484000,7/25/2022 3:45,AKDT,2760,A
USGS,15484000,7/25/2022 4:00,AKDT,2760,A
USGS,15484000,7/25/2022 4:15,AKDT,2760,A
USGS,15484000,7/25/2022 4:30,AKDT,2760,A
USGS,15484000,7/25/2022 4:45,AKDT,2760,A
USGS,15484000,7/25/2022 5:00,AKDT,2760,A
USGS,15484000,7/25/2022 5:15,AKDT,2760,A
USGS,15484000,7/25/2022 5:30,AKDT,2760,A
USGS,15484000,7/25/2022 5:45,AKDT,2760,A
USGS,15484000,7/25/2022 6:00,AKDT,2760,A
USGS,15484000,7/25/2022 6:15,AKDT,2760,A
USGS,15484000,7/25/2022 6:30,AKDT,2760,A
USGS,15484000,7/25/2022 6:45,AKDT,2760,A
USGS,15484000,7/25/2022 7:00,AKDT,2760,A
USGS,15484000,7/25/2022 7:15,AKDT,2760,A
USGS,15484000,7/25/2022 7:30,AKDT,2750,A
USGS,15484000,7/25/2022 7:45,AKDT,2750,A
USGS,15484000,7/25/2022 8:00,AKDT,2750,A
USGS,15484000,7/25/2022 8:15,AKDT,2760,A
USGS,15484000,7/25/2022 8:30,AKDT,2760,A
USGS,15484000,7/25/2022 8:45,AKDT,2750,A
USGS,15484000,7/25/2022 9:00,AKDT,2750,A
USGS,15484000,7/25/2022 9:15,AKDT,2750,A
USGS,15484000,7/25/2022 9:30,AKDT,2750,A
USGS,15484000,7/25/2022 9:45,AKDT,2750,A
USGS,15484000,7/25/2022 10:00,AKDT,2730,A
USGS,15484000,7/25/2022 10:15,AKDT,2750,A
USGS,15484000,7/25/2022 10:30,AKDT,2750,A
USGS,15484000,7/25/2022 10:45,AKDT,2730,A
USGS,15484000,7/25/2022 11:00,AKDT,2730,A
USGS,15484000,7/25/2022 11:15,AKDT,2750,A
USGS,15484000,7/25/2022 11:30,AKDT,2730,A
USGS,15484000,7/25/2022 11:45,AKDT,2730,A
USGS,15484000,7/25/2022 12:00,AKDT,2720,A
USGS,15484000,7/25/2022 12:15,AKDT,2730,A
USGS,15484000,7/25/2022 12:30,AKDT,2730,A
USGS,15484000,7/25/2022 12:45,AKDT,2730,A
USGS,15484000,7/25/2022 13:00,AKDT,2720,A
USGS,15484000,7/25/2022 13:15,AKDT,2720,A
USGS,15484000,7/25/2022 13:30,AKDT,2720,A
USGS,15484000,7/25/2022 13:45,AKDT,2720,A
USGS,15484000,7/25/2022 14:00,AKDT,2720,A
USGS,15484000,7/25/2022 14:15,AKDT,2720,A
USGS,15484000,7/25/2022 14:30,AKDT,2720,A
USGS,15484000,7/25/2022 14:45,AKDT,2700,A
USGS,15484000,7/25/2022 15:00,AKDT,2700,A
USGS,15484000,7/25/2022 15:15,AKDT,2700,A
USGS,15484000,7/25/2022 15:30,AKDT,2700,A
USGS,15484000,7/25/2022 15:45,AKDT,2700,A
USGS,15484000,7/25/2022 16:00,AKDT,2700,A
USGS,15484000,7/25/2022 16:15,AKDT,2700,A
USGS,15484000,7/25/2022 16:30,AKDT,2700,A
USGS,15484000,7/25/2022 16:45,AKDT,2700,A
USGS,15484000,7/25/2022 17:00,AKDT,2700,A
USGS,15484000,7/25/2022 17:15,AKDT,2700,A
USGS,15484000,7/25/2022 17:30,AKDT,2700,A
USGS,15484000,7/25/2022 17:45,AKDT,2720,A
USGS,15484000,7/25/2022 18:00,AKDT,2700,A
USGS,15484000,7/25/2022 18:15,AKDT,2700,A
USGS,15484000,7/25/2022 18:30,AKDT,2700,A
USGS,15484000,7/25/2022 18:45,AKDT,2700,A
USGS,15484000,7/25/2022 19:00,AKDT,2700,A
USGS,15484000,7/25/2022 19:15,AKDT,2690,A
USGS,15484000,7/25/2022 19:30,AKDT,2690,A
USGS,15484000,7/25/2022 19:45,AKDT,2690,A
